__Cable part number__,__Source device type__,__Source U number__,__Parameter1__,__Parameter2__,__Parameter3__,__Destination device type__,__Destination U number__,__Parameter1__,__Parameter2__,__Parameter3__
ib-cable,bld,1,DM,5,1,ib,44,I,1,-
,bld,1,DM,6,1,ib,44,I,2,-
,bld,1,DM,5,2,ib,45,I,1,-
,bld,1,DM,6,2,ib,45,I,2,-
fc-cable,bld,1,DM,3,1,san,46,F,1,-
,bld,1,DM,4,1,san,46,F,2,-
,bld,1,DM,3,2,san,47,F,1,-
,bld,1,DM,4,2,san,47,F,2,-
RJ45,bld,1,DM,1,1,lan,49,N,1,-
,bld,1,DM,2,1,lan,49,N,2,-
,bld,1,DM,1,2,lan,50,N,1,-
,bld,1,DM,2,2,lan,50,N,2,-
fc-cable,sto,21,1,D,1,san,46,F,3,-
,sto,21,2,D,1,san,46,F,4,-
,sto,21,1,D,2,san,47,F,3,-
,sto,21,2,D,2,san,47,F,4,-
ib-cable,sls,29,1,I,1,ib,44,I,3,-
,sls,29,3,I,1,ib,44,I,4,-
,sls,29,1,I,2,ib,45,I,3,-
,sls,29,3,I,2,ib,45,I,4,-
fc-cable,sls,29,1,F,1,san,46,F,5,-
,sls,29,4,F,1,san,46,F,6,-
,sls,29,1,F,2,san,47,F,5,-
,sls,29,4,F,2,san,47,F,6,-
RJ45,sls,29,1,E,1,lan,49,N,3,-
,sls,29,1,N,1,lan,49,N,4,-
,sls,29,3,E,1,lan,49,N,5,-
,sls,29,4,E,1,lan,49,N,6,-
,sls,29,1,E,2,lan,50,N,3,-
,sls,29,1,N,2,lan,50,N,4,-
,sls,29,3,E,2,lan,50,N,5,-
,sls,29,4,E,2,lan,50,N,6,-
ib-cable,svr,34,I,1,-,ib,44,I,5,-
,svr,34,I,3,-,ib,44,I,6,-
,svr,34,I,2,-,ib,45,I,5,-
,svr,34,I,4,-,ib,45,I,6,-
fc-cable,svr,34,F,1,-,san,46,F,7,-
,svr,34,F,3,-,san,46,F,8,-
,svr,34,F,2,-,san,47,F,7,-
,svr,34,F,4,-,san,47,F,8,-
RJ45,svr,34,E,1,-,lan,49,N,7,-
,svr,34,N,1,-,lan,49,N,8,-
,svr,34,E,2,-,lan,50,N,7,-
,svr,34,N,2,-,lan,50,N,8,-
ib-cable,svr,38,I,1,-,ib,44,I,7,-
,svr,38,I,3,-,ib,44,I,8,-
,svr,38,I,2,-,ib,45,I,7,-
,svr,38,I,4,-,ib,45,I,8,-
fc-cable,svr,38,F,1,-,san,46,F,9,-
,svr,38,F,3,-,san,46,F,10,-
,svr,38,F,2,-,san,47,F,9,-
,svr,38,F,4,-,san,47,F,10,-
RJ45,svr,38,E,1,-,lan,49,N,9,-
,svr,38,N,1,-,lan,49,N,10,-
,svr,38,E,2,-,lan,50,N,9,-
,svr,38,N,2,-,lan,50,N,10,-
